io15,io16,SR1A,SR1B,SR1C,SR1D,SR1E,SR1F,SR1G,SR108A,SR108B,SR108C,SR108D,SR108E,SR108F,SR108G,SR108H,SR119A,SR119B,SR119C,SR119D,SR119E,SR119F,SR119G,SR119H,SR119I,SR119J,SN6,SN7,SN15,SN16,DE12,DE32_1,DE32_2,DE32_3,DE32_4,DE32_5,DE32_6,DE32_7,DE32_8,DE32_9,DE32_98,DE32_99,DE33,DE34,DE35,DE36
2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,2,2, , ,4, , , , , , , , ,1, , ,5,4, , 
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,1,1, , ,3, , , , ,1, , , , , , ,5,3,4,4
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,1,1, , ,2, , , , , , , ,1, , , ,1,1,1,1
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,3,5,5,1,1,1,5,5, , , , , , , , , , , , , , , , , , ,4,4,1,1,3,1, , , , , , , , , , ,4,4, , 
7,3,5,5,5,1,5,5,5, , , , , , , , , , , , , , , , , , ,1,2,9,9,2,1, , , , , , , , , , ,4,2,1,2
7,5,5,5,5,5,5,5,5, , , , , , , , ,5,5,5,1,5,5,1,5,5,1,3,4, , ,4, , , , ,1, , , , , , ,3,1,1,2
19,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,4,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,2,1, , ,2,1, , , , , , , , , , ,4,2,2,2
12,4,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,2,3,1,1,3,1, , , , , , , , , , ,5,4, , 
12,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,4,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,3,3,3,2,3,1, , , , , , , , , , ,5,1,2,2
19,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,3,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,1,1,1,1,2,1, , , , , , , , , , ,9,2,8,8
7,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,3,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,4,3,1,2,2,1, , , , , , , , , , ,4,2,2,2
7,1,5,5,1,5,5,5,5, , , , , , , , , , , , , , , , , , ,1,1, , ,1,1, , , , , , , , , , ,5,1,1,1
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,1,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,4,4,1,1,4, , , , , , , , ,1, , ,4,4, , 
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,1,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,1,1,1,1,4, , , , ,1, , , , , , ,5,4, , 
7,3,5,5,5,1,5,5,5, , , , , , , , , , , , , , , , , , ,4,4, , ,8,1, , , , , , , , , , ,5,2,4,4
7,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,3,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,4,8, , ,4, , , , , , , , , ,1, ,8,8, , 
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5,1,1,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,2,2,1,1,3,1, , , , , , , , , , ,2,1,1,1
7,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,1,2,1,1,3,1, , , , , , , , , , ,4,2,4,4
7,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,1,1, , ,2, , , , , , , , , ,1, ,5,2,4,4
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,3,5,5,1,1,8,5,5, , , , , , , , , , , , , , , , , , ,1,1,1,1,4, , , , , , , , ,1, , ,5,4, , 
7,5,5,5,5,1,5,5,5, , , , , , , , , , , , , , , , , , ,1,1, , ,4, , , , , , , , ,1, , ,5,4, , 
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,3,5,5,5,1,1,5,5,5,5,1,1, , , , , , , , , , , , , , ,1,1,1,1,3,1, , , , , , , , , , ,5,8, , 
7,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,3,1,1,2,4,1, , , , , , , , , , ,8,1,1,2
7,1,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,4,4,2,3,2,1, , , , , , , , , , ,1,1,1,1
7,3,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,1,1, , ,1, , , , ,1, , , , , , ,1,1,1,1
19,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,2,2, , ,4,1, , , , , , , , , , ,4,3,4,4
7,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , ,4,4,1,1,4, , , , , , , , ,1, , ,5,4, , 
