???ulation income in region of Ukraine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(UAH mln.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Income ,,,,,,,,,,,,,,,Disposable income,,,,,,,,,,,,,,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014¹,2015¹,2016 ¹?²,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014¹,2015¹,2016 ¹?²
Ukraine,185073,215672,274241,381404,472061,623289,845641,894286,1101175,1266753,1457864,1548733,1516768,1735858,2002383,141618,162578,212033,298275,363586,470953,634493,661915,847949,988983,1149244,1215457,1151656,1330089,1519574
Autonomous Republic of Crimea,6558,8135,10022,13883,16834,22878,30386,32046,39393,45562,51759,57324,…,…,…,4906,5983,7676,10806,13006,16957,22677,23667,30409,35793,40757,44816,…,…,…
oblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinnytsya,5814,7053,8747,12193,14788,19264,25170,26813,33602,38990,44265,46157,49418,59646,69990,4769,5604,7016,9908,11825,15052,19454,20181,26364,31265,35441,37323,37812,46386,54033
Volyn,3445,4043,4941,6808,8414,10943,14662,15177,19137,22584,25741,26907,27986,33250,39319,2742,3128,3904,5478,6638,8321,10982,11366,14840,17289,19546,20609,20985,25259,29496
Dnipropetrovsk,14757,17331,22241,31344,38694,50955,68420,72138,88922,101868,118823,124594,136810,163262,187830,11233,13022,17124,24287,29652,39015,52352,55139,69394,80888,95349,99995,105223,125419,140918
Donetsk,19572,22847,29497,40753,50947,67057,92213,96596,118223,135599,158003,166366,142745,114108,114741,14852,17270,23407,32945,40752,53011,73310,76284,94860,109968,128767,135362,113343,88173,82685
Zhytomyr,4481,5326,6867,9418,11472,15132,20216,20655,26124,30069,34110,34947,36814,44068,51618,3510,4156,5390,7449,8940,11624,15627,15712,20231,23884,27057,27405,27831,33848,39113
Zakarpattya,3360,4337,5451,7504,9134,12103,16033,16492,20841,24446,28028,29102,29988,36173,42165,2601,3355,4305,6012,7166,9105,12013,12148,15825,18738,21534,22512,21840,27312,31532
Zaporizhzhya,7957,9381,11807,16360,20148,26424,35628,37019,45779,52272,59191,62671,68327,80308,94914,6071,7166,9414,13223,16118,20747,27891,28433,36530,42550,48482,50545,53449,62555,73563
Ivano-Frankivsk,4191,5189,6545,9120,11232,14779,20143,21023,26504,31224,36186,37310,37848,46019,53767,3302,4120,5276,7404,8966,11537,15563,16146,20716,24471,27825,29003,28139,35594,41399
Kyiv,7067,8144,9929,13824,17424,23145,31666,34358,42732,48990,55941,58894,63342,74798,89008,5659,6343,7908,11168,13978,17876,24763,25915,33558,38703,45673,47216,49133,57472,67907
Kirovohrad,3722,4335,5372,7451,8991,11602,15452,16149,20213,23443,27129,27695,28901,34576,40559,2894,3379,4243,5989,7073,8962,11873,11990,15632,18151,20529,21485,21605,26016,30035
Luhansk,8540,10102,12885,17860,22042,28967,39861,41916,51338,58619,67025,71485,56233,42454,38048,6603,7845,10167,14308,17591,22786,31430,32670,41080,47648,54405,57527,44124,32932,26227
Lviv,9221,11466,14352,19823,23804,31361,42220,43813,54838,63602,72828,75762,79378,95690,112628,7177,8860,11400,16020,19025,24420,32513,33706,42064,48833,55878,58762,59887,72966,85332
Mykolayiv,4558,5478,6754,9301,11246,14772,19950,20723,26034,29800,33907,35125,36373,43320,50522,3483,4218,5378,7516,8897,11324,15148,15689,20161,23664,26900,27948,27362,33190,38304
Odesa,7982,10173,13467,18558,22457,29186,39367,42422,52924,61435,70429,78285,80438,98819,117310,6076,7717,10228,14173,16807,21031,28133,29666,38896,45704,53154,61265,58096,75494,90119
Poltava,6279,7334,9260,12831,15573,20283,27024,28239,34462,39299,44835,46984,49928,59461,69629,4934,5696,7407,10404,12481,15913,21135,22195,26873,31010,35380,37118,38078,45115,52148
Rivne,3872,4601,5675,7821,9656,12555,16865,17458,22362,26144,29557,31811,33314,39399,45830,2996,3481,4403,6192,7557,9555,12810,13029,16855,19984,22950,24507,25266,30143,34587
Sumy,4504,5388,6531,9114,11281,14965,19819,20318,24918,28347,32415,33469,35375,43423,49855,3463,4164,5188,7376,9092,11892,15698,15819,19692,22667,25920,26812,27007,33337,37641
Ternopil,3119,3983,4942,6969,8708,11367,14999,15608,19587,22712,26102,26345,26892,32975,38281,2455,3159,3958,5616,6967,8886,11599,11603,15020,17697,20025,20424,19718,24856,28562
Kharkiv,11253,13395,16524,22926,28188,37835,51971,54519,67102,77316,88352,91333,95897,114601,132641,8493,9981,12829,18042,22056,28961,39232,40617,50962,59886,68226,71530,71841,85723,99149
