"Distribution of the population by source of livelihood and age"
"(persons) by Age groups, Region, Year, Settlement type, Gender and"
"Source of livelihood"

" "	" "	"1989(12.01)"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "
" "	" "	"Urban settlements and rural area"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "
" "	" "	"Both genders"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "
" "	" "	"work in enterprise, organization"	"work in farm"	"work in cooperative enterprise"	"working for individual employees"	"work on individual labor contract"	"personal subsidiary economy"	"pension, public assistance"	"fellowship"	"another kind of public support"	"dependant of individuals"	"another source"
"Whole population"
" "	"Krymska oblast"	1153210	110490	10984	311	1711	7451	409483	47268	13746	670139	5702
" "	"Vinnytska oblast"	664838	245297	2973	199	1552	10465	482392	39744	16651	454869	1803
" "	"Volynska oblast"	375351	126823	1294	101	818	5066	221137	20102	8316	298400	1030
" "	"Dnipropetrovska oblast"	1811304	151674	10803	405	2592	9726	768528	113925	18800	978164	3937
" "	"Donetska oblast"	2583755	115083	10594	520	3486	9136	1087434	133155	33494	1328773	6351
" "	"Zhytomyrska oblast"	582831	152897	1744	105	863	7060	355501	26443	11493	397452	1215
" "	"Zakarpatska oblast"	495146	120028	2780	587	6107	26091	174715	19531	9694	387597	3342
" "	"Zaporizka oblast"	957098	118488	4042	239	1793	6938	399703	45005	13531	525155	2026
" "	"Ivano-Frankivska oblast"	544690	128203	3034	238	4549	34738	253116	27100	14021	402271	1251
" "	"Kyivska oblast"	826061	138580	2949	174	1368	7528	421101	35506	12319	487206	1577
" "	"Kirovohradska oblast"	456406	145244	2528	111	786	3402	288589	22016	8490	299525	996
" "	"Luhanska oblast"	1363355	63963	3799	209	1511	6585	616664	65281	19695	713108	2861
" "	"Lvivska oblast"	1213224	156097	5906	241	2924	14211	477186	91944	30802	732716	2159
" "	"Mykolaivska oblast"	587089	96092	4050	152	990	4798	241339	25141	7365	359926	1364
" "	"Odeska oblast"	1108843	218003	12452	463	2215	13336	473093	74981	17500	699381	3978
" "	"Poltavska oblast"	671224	176013	2504	202	1020	4137	438002	33682	13668	406858	1406
" "	"Rivnenska oblast"	428566	129536	1593	90	1028	10762	220376	24510	11462	334784	1534
" "	"Sumska oblast"	558453	130064	1887	132	725	5434	355749	30853	10565	332636	1000
" "	"Ternopilska oblast"	374297	183692	2123	73	1043	7127	264894	22148	14046	293860	671
" "	"Kharkivska oblast"	1518784	108594	10346	248	2007	8578	634470	110563	25098	753443	2544
" "	"Khersonska oblast"	545672	85860	2980	210	1186	8337	224092	25840	9466	331925	1402
" "	"Khmelnytska oblast"	526881	205589	1852	97	1098	7187	366560	32337	10432	368602	929
" "	"Cherkaska oblast"	560309	171758	2506	145	1007	7231	382642	28353	10935	361194	1273
" "	"Chernivetska oblast"	345132	108218	1980	252	1315	13028	179730	22139	9028	258798	1181
" "	"Chernihivska oblast"	494631	172511	1955	96	938	5390	388702	25614	7024	315126	783
" "	"Kyiv (miskrada)"	1433764	3118	11182	229	1901	402	318960	112285	16074	671428	2869
" "	"Sevastopol (miskrada)"	212130	936	1760	69	165	233	57914	12089	1633	105663	423

"Data are given by permanent population. "
" "
"Extra notes: "
"The list of settlements of administrative-territorial division "
"(variable Region) is presented in transliteration.  "
" "
"The English version of some transliterated Ukrainian words is "
"presented below: "
" Region = rehion / oblast  "
" Council (municipality) = rada  "
" City council = miskrada"

